gen0,-0.174674
gen0,-0.156543
gen1,0.336526
gen2,0.455680
gen3,0.466822
gen4,0.509417
gen5,0.509363
gen0,-0.155201
gen1,0.340825
gen0,-0.183933
gen1,0.303388
gen2,0.444075
gen3,0.465032
gen4,0.492099
gen5,0.482992
gen0,-0.068649
gen1,0.502132
gen2,0.690371
gen3,0.710328
gen4,0.729385
gen5,0.750418
gen6,0.773664
gen7,0.775276
gen8,0.809603
gen9,0.791712
gen10,0.805092
gen11,0.850936
gen12,0.865369
gen13,0.871500
gen14,0.856592
gen15,0.933222
gen16,0.914465
gen17,0.933391
gen18,0.946151
gen19,0.944350
gen20,0.943213
gen21,0.946161
gen22,0.945253
gen23,0.937592
gen24,0.943816
gen25,0.963611
gen26,0.953435
gen27,0.950457
gen28,0.955322
gen29,0.964746
gen30,0.948696
gen31,0.959743
gen32,0.960647
gen33,0.961450
gen34,0.957393
gen35,0.959446
gen0,0.150069
gen1,0.381714
gen2,0.507581
gen3,0.539659
gen4,0.577026
gen5,0.610952
gen6,0.615475
gen7,0.625380
gen8,0.649240
gen9,0.639040
gen0,0.075880
gen1,0.390921
gen2,0.516150
